0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.0,10.0,10.0,10.0,0.0,30.0,0.0,20.0,30.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,25.0,30.0,20.0,10.0,50.0,0.0,30.0,0.0
0.0,0.0,45.0,30.0,0.0,20.0,10.0,0.0,60.0,10.0,0.0,0.0,20.0,20.0,30.0,10.0,10.0,65.0,50.0,10.0,20.0,20.0,70.0,30.0
0.0,0.0,0.0,20.0,20.0,30.0,30.0,15.0,70.0,0.0,0.0,20.0,20.0,20.0,55.0,30.0,10.0,60.0,40.0,40.0,30.0,0.0,60.0,10.0
0.0,0.0,0.0,0.0,0.0,67.0,30.0,15.0,20.0,0.0,20.0,0.0,22.0,0.0,20.0,0.0,24.0,20.0,30.0,20.0,10.0,33.0,25.0,10.0
0.0,0.0,0.0,0.0,0.0,50.0,20.0,30.0,60.0,0.0,10.0,0.0,10.0,0.0,25.0,50.0,15.0,10.0,40.0,20.0,38.0,18.0,40.0,50.0
0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,15.0,0.0,20.0,30.0,20.0,0.0,40.0,25.0,85.0,40.0,40.0,20.0,20.0,50.0,20.0,10.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,20.0,10.0,0.0,10.0,15.0,20.0,30.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,20.0,0.0,20.0,0.0,67.0,20.0,0.0,60.0,10.0,0.0,20.0,25.0,10.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,30.0,45.0,0.0,20.0,30.0,20.0,60.0,20.0,30.0,40.0,20.0,40.0,10.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,20.0,10.0,5.0,0.0,30.0,0.0,12.0,0.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,20.0,10.0,23.0,20.0,20.0,10.0,10.0,20.0,20.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,20.0,20.0,0.0,15.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,60.0,40.0,40.0,20.0,20.0,40.0,40.0,50.0,10.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,42.0,30.0,20.0,20.0,20.0,70.0,10.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,63.0,20.0,20.0,20.0,20.0,35.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,20.0,40.0,20.0,35.0,10.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,20.0,20.0,42.0,40.0,10.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,25.0,0.0,70.0,10.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,35.0,30.0,10.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,10.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
